NXDOMAIN DATA

manager.paypal.com                                manager.payflow.edge.paypal.com.                  lookup manager.payflow.edge.paypal.com.: getaddrinfow: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server.
www.stage2mb040.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
o365a.paypal.com                                  autodiscover.paypal.onmicrosoft.com.              lookup autodiscover.paypal.onmicrosoft.com.: no such host
www.stage2d0078.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0120.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0114.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0095.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0091.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0091.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0073.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0106.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0083.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0102.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0080.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0090.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0090.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0124.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0075.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0101.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0106.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0080.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0101.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0074.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0074.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0084.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0120.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0121.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0084.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
