NXDOMAIN DATA

de.twitter.com                                    de.twitter.com.                                   lookup de.twitter.com.: no such host
access.twitter.com                                access.twitter.com.                               lookup access.twitter.com.: no such host
twvid.com                                         twvid.com.                                        lookup twvid.com.: no such host
_thirdparty.twitter.com                           _thirdparty.twitter.com.                          lookup _thirdparty.twitter.com.: no such host
e.twitter.com                                     e.twitter.com.                                    lookup e.twitter.com.: no such host
twimg.com                                         twimg.com.                                        lookup twimg.com.: no such host
partnerstream1.twitter.com                        partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host
staging2-partnerstream1.twitter.com               partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host


CNAME RECORD DATA

api-1-0-0.twitter.com                             api-1-0-0.twitter.com.                            209.237.193.128
api-41-0-0.twitter.com                            api-41-0-0.twitter.com.                           69.195.171.128
zbb.twitter.com                                   s.twitter.com.                                    104.244.42.131
api-31-0-0.twitter.com                            api-31-0-0.twitter.com.                           69.195.183.128
api-0-4-8.twitter.com                             api-0-4-8.twitter.com.                            209.237.204.128
mta70.e.twitter.com                               mta70.e.twitter.com.                              136.147.183.234
spring-chicken-bb.twitter.com                     spring-chicken-bb.twitter.com.                    199.16.156.167
spring-chicken-bl.twitter.com                     spring-chicken-bl.twitter.com.                    199.16.156.177
ham-catapult.twitter.com                          ham-catapult.twitter.com.                         199.16.156.142
search2.twitter.com                               search2.twitter.com.                              199.16.156.11
spring-chicken-at.twitter.com                     spring-chicken-at.twitter.com.                    199.16.156.159
spruce-goose-as.twitter.com                       spruce-goose-as.twitter.com.                      199.59.150.88
smf-api.twitter.com                               smf-api.twitter.com.                              104.244.45.248
spring-chicken-bp.twitter.com                     spring-chicken-bp.twitter.com.                    199.16.156.181
spruce-goose-be.twitter.com                       spruce-goose-be.twitter.com.                      199.59.150.100
spruce-goose-bw.twitter.com                       spruce-goose-bw.twitter.com.                      199.59.150.118
gtcp-dc.twitter.com                               gtcp-dc.twitter.com.                              35.186.226.218
spruce-goose-ca.twitter.com                       spruce-goose-ca.twitter.com.                      199.59.150.122
spruce-goose-bi.twitter.com                       spruce-goose-bi.twitter.com.                      199.59.150.104
sitestream.twitter.com                            sitestream.twitter.com.                           199.59.150.42
spring-chicken-af.twitter.com                     spring-chicken-af.twitter.com.                    199.16.156.145
gtcp-pop.twitter.com                              gtcp-pop.twitter.com.                             35.190.14.255
intl.twitter.com                                  intl.twitter.com.                                 199.59.148.36
api-0-4-4.twitter.com                             api-0-4-4.twitter.com.                            209.237.199.128
spring-chicken-bc.twitter.com                     spring-chicken-bc.twitter.com.                    199.16.156.168
api-0-4-5.twitter.com                             api-0-4-5.twitter.com.                            209.237.203.128
api-40-0-0.twitter.com                            api-40-0-0.twitter.com.                           69.195.181.128
api-30-0-0.twitter.com                            api-30-0-0.twitter.com.                           69.195.180.128
drl.twitter.com                                   s.twitter.com.                                    104.244.42.131
mta2.e.twitter.com                                mta2.e.twitter.com.                               136.147.183.167
spruce-goose-cc.twitter.com                       spruce-goose-cc.twitter.com.                      199.59.150.124
gton.twitter.com                                  gtcp.twitter.com.                                 35.227.244.19
mta65.e.twitter.com                               mta65.e.twitter.com.                              136.147.183.229
spring-chicken-bu.twitter.com                     spring-chicken-bu.twitter.com.                    199.16.156.186
spring-chicken-ap.twitter.com                     spring-chicken-ap.twitter.com.                    199.16.156.155
spruce-goose-bb.twitter.com                       spruce-goose-bb.twitter.com.                      199.59.150.97
spring-chicken-bf.twitter.com                     spring-chicken-bf.twitter.com.                    199.16.156.171
spruce-goose-br.twitter.com                       spruce-goose-br.twitter.com.                      199.59.150.113
mta8.e.twitter.com                                mta8.e.twitter.com.                               136.147.183.173
support.twitter.com                               support.twitter.com.                              104.244.42.135
datastream.twitter.com                            datastream.twitter.com.                           199.59.148.125
awards.twitter.com                                s.twitter.com.                                    104.244.42.131
