NXDOMAINS DATA 
spectrum-pd.starbucks.com                                 spectrum-pd.vpc.starbucks.net
certupgpospa2.starbucks.com                                 bigip-certupgpospa2-starbucks.oracle.com
devbi.starbucks.com                                 bigip-devbi-starbucks.oracle.com
certupgpospa1.starbucks.com                                 bigip-certupgpospa1-starbucks.oracle.com
tstcrmapps.starbucks.com                                 tstcrmapps-starbucks.nssb-oracle.com
wfmnaptnpc.starbucks.com                                 s00149tmppcptn.trafficmanager.net
bi-gis-cert.starbucks.com                                 bi-gis.starbucks.com
prodcrmapps.starbucks.com                                 prodcrmapps-starbucks.nssb-oracle.com
ct.spc.starbucks.com                                 sbux-production-ucp-master.apigee.net
trace-psdev.starbucks.com                                 s00174atww2twsps.trafficmanager.net
lstech-asp-sd.starbucks.com                                 lstech-asp-sd.vpc.starbucks.net
sco-asp-sd.starbucks.com                                 sco-asp-sd.vpc.starbucks.net
lstech-asp-pd.starbucks.com                                 lstech-asp-pd.vpc.starbucks.net
CNAME RECORDS DATA 
retailwebapps.starbucks.com                                 retailwebapps.gtm.starbucks.com                                 IP98.99.248.112
pd.spc.starbucks.com                                 sbux-eapi-dev-develop.apigee.net                                 IP34.216.23.134
connecttest.starbucks.com                                 d2ryli2z4zvqcf.cloudfront.net                                 IP13.33.169.78,13.33.169.19,13.33.169.119,13.33.169.94
ld00.gifts.starbucks.com                                 s00293lpipgift00.eastus.cloudapp.azure.com                                 IP13.92.172.46
trace-cert.starbucks.com                                 s00174atmw2twact.trafficmanager.net                                 IP52.229.30.210
svcardproxyus.starbucks.com                                 s00307ptmp0svcardproxyprod0.trafficmanager.net                                 IP13.68.196.2
ct.ucpc.starbucks.com                                 sbux-integration-ucp-stable.apigee.net                                 IP52.192.24.183
ct00.mfa.starbucks.com                                 s00294tpipmfa00.eastus.cloudapp.azure.com                                 IP52.168.55.174
wfmnaptnct.starbucks.com                                 s00150tmpctptn.trafficmanager.net                                 IP23.99.206.151
d02-1-lb.productioncontroller.starbucks.com                                 sbd02-1.westus.cloudapp.azure.com                                 IP104.42.175.19
wfmnaptn.starbucks.com                                 s00150tmppdptn.trafficmanager.net                                 IP52.176.6.37
sgsmsupplier.starbucks.com                                 uszrn.x.incapdns.net                                 IP45.60.67.148
athome.starbucks.com                                 br3o6wb.x.incapdns.net                                 IP45.60.125.5
wfmnapayct.starbucks.com                                 s00150tmpctpay.trafficmanager.net                                 IP23.99.206.151
s03-1-ag.productioncontroller.starbucks.com                                 93ef0cbf-a1a7-46fb-98db-b412dda13483.cloudapp.net                                 IP40.83.223.203
spectrum-ct.starbucks.com                                 s00172dpipspectrum.westus.cloudapp.azure.com                                 IP40.85.144.111
s03.productioncontroller-lb.starbucks.com                                 sbs03.westus.cloudapp.azure.com                                 IP104.42.70.38
ariba-asp-st.starbucks.com                                 s00309dpipasp02.westus.cloudapp.azure.com                                 IP40.118.168.72
svcgatewaydevus.starbucks.com                                 s00307ntmp0svcgtwydev0.trafficmanager.net                                 IP13.90.87.78
scm-asp-ct.starbucks.com                                 s00326dpipscmasp00.westus.cloudapp.azure.com                                 IP40.118.252.54
ld00.mfa.starbucks.com                                 s00294lpipmfa00.eastus.cloudapp.azure.com                                 IP52.224.163.138
prod00.mfa.starbucks.com                                 s00294ppipmfa00.eastus.cloudapp.azure.com                                 IP168.61.50.119
pd00.mfa.starbucks.com                                 s00294dpipmfa00.eastus.cloudapp.azure.com                                 IP52.168.170.63
pd01.mfa.starbucks.com                                 s00294dpipmfa01.westus.cloudapp.azure.com                                 IP52.160.86.40
perf-solr.starbucks.com                                 perf-solr.westus.cloudapp.azure.com                                 IP138.91.168.214
trace-api-systest.starbucks.com                                 s00174apmw2gtwyst.azure-api.net                                 IP52.229.32.183
scm-asp-st.starbucks.com                                 s00309dpipasp01.westus.cloudapp.azure.com                                 IP40.118.247.218
sim.starbucks.com                                 s00177ptmjira.trafficmanager.net                                 IP13.91.45.240
wfmnalcndv.starbucks.com                                 s00149tmpdvlcn.trafficmanager.net                                 IP40.86.96.177
pd00.gifts.starbucks.com                                 s00293dpipgift00.eastus.cloudapp.azure.com                                 IP52.191.214.135
jssdev.starbucks.com                                 jssdev-starbucks.trafficmanager.net                                 IP104.42.15.204
ps00.mfa.starbucks.com                                 s00294tpipmfa014.eastus.cloudapp.azure.com                                 IP13.90.213.71
cardreloaddevus.starbucks.com                                 s00307ntmp0reloaddev0.trafficmanager.net                                 IP40.114.109.80
stage00.mfa.starbucks.com                                 s00294spipmfa00.eastus.cloudapp.azure.com                                 IP104.211.28.26
splunkforwarders03.productioncontroller.starbucks.com                                 sbspbs03.westus.cloudapp.azure.com                                 IP104.42.15.154
cloudid-cert.starbucks.com                                 sbuxc.trafficmanager.net                                 IP104.42.6.48
cdx-nonprod-api.starbucks.com                                 s00199cdxtmna.trafficmanager.net                                 IP52.226.32.51
sd-asp.starbucks.com                                 s00309-sd-asp.westus.cloudapp.azure.com                                 IP23.99.91.189
p01.productioncontroller-splunkforwarder.starbucks.com                                 sbspbp01.westus.cloudapp.azure.com                                 IP40.118.134.81
promotions.starbucks.com                                 starbucks-landing.ent-sessionm.com                                 IP52.72.149.51,34.193.236.132,107.23.35.215
trace.starbucks.com                                 s00212atmw2twsprod.trafficmanager.net                                 IP52.175.202.25
wfmnapaydv.starbucks.com                                 s00149tmpdvpay.trafficmanager.net                                 IP40.86.96.177
ps00.gifts.starbucks.com                                 s00293tpipgift00.eastus.cloudapp.azure.com                                 IP52.224.48.251
lstech-asp-ct.starbucks.com                                 s00309-pip-lstechct.westus.cloudapp.azure.com                                 IP168.61.21.114
ariba-asp-sd.starbucks.com                                 s00326-pip-aribasd.westus.cloudapp.azure.com                                 IP40.78.71.237
d02-tm.productioncontroller.starbucks.com                                 s00175tmd02.trafficmanager.net                                 IP40.78.30.200
wfmnarptst.starbucks.com                                 s00149tmpstrpt.trafficmanager.net                                 IP40.86.86.144
cloudid-dev.starbucks.com                                 sbuxd.trafficmanager.net                                 IP52.224.147.208
pd01.gifts.starbucks.com                                 s00293dpipgift01.westus.cloudapp.azure.com                                 IP40.86.184.177
jss.starbucks.com                                 jssprod-starbucks.trafficmanager.net                                 IP13.91.89.122
svcgatewaytestus.starbucks.com                                 s00307ntmp0svcgtwytest0.trafficmanager.net                                 IP13.82.232.243
wfmnapaypc.starbucks.com                                 s00149tmppcpay.trafficmanager.net                                 IP40.86.99.202
s03.productioncontroller.starbucks.com                                 f260b415-7070-4236-ab4d-476c31b926f0.cloudapp.net                                 IP40.118.171.199
ct00.gifts.starbucks.com                                 s00293cpipgift00.eastus.cloudapp.azure.com                                 IP52.168.78.235
cardreloadloadus.starbucks.com                                 s00307ntmp0reloadload0.trafficmanager.net                                 IP40.121.3.126
wfmnaposct.starbucks.com                                 s00150tmpctpos.trafficmanager.net                                 IP23.99.206.151
wfmnalcn.starbucks.com                                 s00150tmppdlcn.trafficmanager.net                                 IP52.176.6.37
svcardproxydevus.starbucks.com                                 s00307ntmp0svcardproxydev0.trafficmanager.net                                 IP137.135.82.170
svcgatewayus.starbucks.com                                 s00197tmp0crdfulprod0.trafficmanager.net                                 IP52.191.112.198
wfmnapimct.starbucks.com                                 s00150tmpctpim.trafficmanager.net                                 IP23.99.206.151
p01-1-lb.productioncontroller.starbucks.com                                 sbp01-1.westus.cloudapp.azure.com                                 IP104.40.73.178
playbuilder.starbucks.com                                 s00377ptmpplaybuilder-ui.trafficmanager.net                                 IP52.168.66.87
s03-1-lb.productioncontroller.starbucks.com                                 sbs03-1.westus.cloudapp.azure.com                                 IP40.112.162.212
cardreloadtestus.starbucks.com                                 s00307ntmp0reloadtest0.trafficmanager.net                                 IP40.114.114.235
spectrum-api.starbucks.com                                 s00172dpipspec01s001.westus.cloudapp.azure.com                                 IP40.85.156.65
suslab.starbucks.com                                 applesus-lab.trafficmanager.net                                 IP40.78.42.109
prod01.mfa.starbucks.com                                 s00294ppipmfa01.westus.cloudapp.azure.com                                 IP104.42.177.247
kms-asp-pd.starbucks.com                                 s00172dpipipaaspoc.eastus.cloudapp.azure.com                                 IP23.96.84.143
hybrid.starbucks.com                                 hybrid-iad2.starbucks.com                                 IP98.99.254.177
openapi.starbucks.com                                 sbux-production-oapi-prod-dial.apigee.net                                 IP34.216.23.151
prod.sei.starbucks.com                                 prod.sei.trafficmanager.net                                 IP13.68.115.248
jsslab.starbucks.com                                 jsslab-starbucks.trafficmanager.net                                 IP52.160.81.171
cdx-prod-api.starbucks.com                                 s00181cdxtmna.trafficmanager.net                                 IP104.211.56.52
cloudid.starbucks.com                                 sbuxp.trafficmanager.net                                 IP23.101.140.203
devinternal.gifting.starbucks.com                                 dpapiegiftdevuseastus.trafficmanager.net                                 IP52.168.174.159
desktop.starbucks.com                                 desktop.gtm.starbucks.com                                 IP98.99.248.111
spectrum.starbucks.com                                 s00172ppipspecapp00.westus.cloudapp.azure.com                                 IP13.64.109.65
sus.starbucks.com                                 applesus.trafficmanager.net                                 IP13.64.104.108
prodcrmasp.starbucks.com                                 prodcrmasp-starbucks.nssb-oracle.com                                 IP144.23.239.2
wfmnalcnpc.starbucks.com                                 s00149tmppclcn.trafficmanager.net                                 IP40.86.99.202
wfmnalcnst.starbucks.com                                 s00149tmpstlcn.trafficmanager.net                                 IP40.86.86.144
